OrderID,CustomerID,StoreID,EmployeeID,OrderDate,PaymentMethod,Status,TotalAmount,DiscountAmount,TaxAmount
1,7996,2,46,2026-03-21 17:55:00,Cash,Completed,6674.44,171.05,317.83
2,1194,8,47,2025-10-12 14:01:00,Cash,Completed,1039.71,32.16,49.51
3,7949,20,43,2024-03-02 16:00:00,Cash,Completed,6116.88,1265.62,291.28
4,5689,13,12,2024-08-07 17:46:00,Debit Card,Completed,2927.4,364.69,139.4
5,8069,5,41,2024-09-03 13:48:00,PayPal,Cancelled,5932.7,0.0,282.51
6,4984,15,44,2024-01-24 08:19:00,PayPal,Completed,2183.46,45.77,103.97
7,3495,18,11,2025-04-16 21:46:00,Cash,Completed,5367.77,322.29,255.61
8,6732,9,49,2025-05-09 13:59:00,Credit Card,Completed,3143.28,276.39,149.68
9,709,19,38,2024-02-24 21:37:00,PayPal,Completed,4765.47,365.99,226.93
10,3033,15,44,2025-02-03 16:22:00,UPI,Completed,6090.35,295.1,290.02
11,6682,15,8,2025-09-16 12:08:00,Debit Card,Completed,2831.99,66.17,134.86
12,1677,9,49,2024-03-18 19:18:00,Debit Card,Cancelled,2007.96,187.06,95.62
13,8172,15,7,2024-05-03 10:16:00,Credit Card,Completed,5585.87,35.3,265.99
14,7118,11,40,2024-12-30 16:09:00,UPI,Completed,5723.76,290.47,272.56
15,8360,11,40,2024-04-15 12:42:00,Gift Card,Cancelled,2888.92,167.97,137.57
16,5133,1,32,2025-02-09 09:06:00,Gift Card,Completed,7527.39,26.48,358.45
17,8238,15,7,2025-08-29 15:57:00,Credit Card,Completed,3030.25,48.15,144.3
18,796,12,3,2026-03-07 09:25:00,PayPal,Completed,8176.63,1214.01,389.36
19,4052,6,32,2025-12-24 09:02:00,Gift Card,Completed,5518.12,223.29,262.77
20,9236,2,46,2025-02-23 19:16:00,Debit Card,Completed,5604.97,1290.51,266.9
21,3429,12,3,2025-11-29 13:19:00,Cash,Completed,2952.61,31.49,140.6
22,3867,12,3,2026-05-24 14:00:00,Cash,Completed,5203.57,615.37,247.79
23,1813,7,20,2024-10-29 13:57:00,Debit Card,Completed,1535.98,145.16,73.14
24,888,6,9,2024-06-14 15:46:00,UPI,Completed,3766.46,25.8,179.36
25,7352,19,14,2026-02-08 19:46:00,Cash,Completed,4616.93,358.74,219.85
26,4534,10,19,2026-05-04 19:31:00,Credit Card,Completed,5188.08,162.65,247.05
27,5448,8,25,2024-01-27 10:11:00,UPI,Completed,4679.64,346.53,222.84
28,8046,11,17,2024-06-15 10:50:00,Credit Card,Cancelled,1382.76,145.41,65.85
29,4608,5,9,2024-07-11 11:43:00,PayPal,Completed,1684.54,0.0,80.22
30,6602,13,12,2025-08-02 12:40:00,Debit Card,Completed,5748.93,1004.69,273.76
31,5073,10,27,2026-01-13 13:15:00,Gift Card,Completed,8990.35,470.39,428.11
32,5557,9,45,2025-01-23 16:11:00,Cash,Completed,7701.66,450.65,366.75
33,2974,14,26,2025-12-01 18:51:00,Cash,Completed,1299.0,0.0,61.86
34,6771,6,37,2024-08-09 11:19:00,Gift Card,Completed,5047.35,699.2,240.35
35,5606,19,36,2025-04-03 14:47:00,Cash,Cancelled,4788.7,300.95,228.03
36,3354,17,42,2025-01-15 18:10:00,PayPal,Completed,5832.4,172.49,277.73
37,8433,14,26,2025-12-07 12:56:00,UPI,Completed,4666.35,328.76,222.21
38,7651,2,46,2024-12-17 11:46:00,Gift Card,Completed,5648.43,829.24,268.97
39,6398,3,1,2024-05-14 10:57:00,UPI,Completed,1610.78,197.17,76.7
40,8216,19,38,2026-03-06 11:41:00,UPI,Completed,5012.91,117.64,238.71
41,3736,4,23,2024-02-23 16:04:00,Credit Card,Completed,2132.87,257.65,101.57
42,9315,17,42,2026-04-07 16:32:00,UPI,Completed,6773.09,414.88,322.53
43,3700,11,17,2025-02-04 12:45:00,Debit Card,Completed,2324.91,0.0,110.71
44,7086,6,40,2025-06-03 12:31:00,Gift Card,Completed,6222.21,293.61,296.3
45,2006,14,26,2025-05-30 13:35:00,UPI,Completed,4784.97,311.9,227.86
46,354,8,47,2025-12-05 19:25:00,Gift Card,Completed,4150.75,307.69,197.65
47,8922,1,32,2024-10-18 14:50:00,Credit Card,Cancelled,5765.81,0.0,274.56
48,7113,13,12,2025-12-07 14:47:00,UPI,Completed,4756.22,273.49,226.49
49,8801,15,7,2025-05-25 19:02:00,Credit Card,Completed,2910.26,578.3,138.58
50,9783,1,32,2024-07-02 17:08:00,PayPal,Cancelled,10400.64,18.19,495.27
51,7742,10,28,2025-10-15 09:59:00,Credit Card,Completed,6127.92,875.85,291.81
52,3256,13,12,2025-11-20 14:00:00,Credit Card,Completed,3998.39,370.69,190.4
53,9870,10,28,2024-06-03 20:57:00,PayPal,Completed,5686.78,955.76,270.8
