PaymentID,OrderID,PaymentDate,Amount,PaymentMethod,TransactionStatus,TransactionReference
1,1,2026-03-21 17:55:00,6674.44,Cash,Success,TXN-000001-000001
2,2,2025-10-12 14:01:00,1039.71,Cash,Success,TXN-000002-000002
3,3,2024-03-02 16:00:00,6116.88,Cash,Success,TXN-000003-000003
4,4,2024-08-07 17:46:00,2927.4,Debit Card,Success,TXN-000004-000004
5,5,2024-09-03 13:48:00,5932.7,PayPal,Failed,TXN-000005-000005
6,6,2024-01-24 08:19:00,2183.46,PayPal,Success,TXN-000006-000006
7,7,2025-04-16 21:46:00,5367.77,Cash,Success,TXN-000007-000007
8,8,2025-05-09 13:59:00,3143.28,Credit Card,Success,TXN-000008-000008
9,9,2024-02-24 21:37:00,4765.47,PayPal,Success,TXN-000009-000009
10,10,2025-02-03 16:22:00,6090.35,UPI,Success,TXN-000010-000010
11,11,2025-09-16 12:08:00,2831.99,Debit Card,Success,TXN-000011-000011
12,12,2024-03-18 19:18:00,2007.96,Debit Card,Failed,TXN-000012-000012
13,13,2024-05-03 10:16:00,5585.87,Credit Card,Success,TXN-000013-000013
14,14,2024-12-30 16:09:00,5723.76,UPI,Success,TXN-000014-000014
15,15,2024-04-15 12:42:00,2888.92,Gift Card,Failed,TXN-000015-000015
16,16,2025-02-09 09:06:00,7527.39,Gift Card,Success,TXN-000016-000016
17,17,2025-08-29 15:57:00,3030.25,Credit Card,Success,TXN-000017-000017
18,18,2026-03-07 09:25:00,8176.63,PayPal,Success,TXN-000018-000018
19,19,2025-12-24 09:02:00,5518.12,Gift Card,Success,TXN-000019-000019
20,20,2025-02-23 19:16:00,5604.97,Debit Card,Success,TXN-000020-000020
21,21,2025-11-29 13:19:00,2952.61,Cash,Success,TXN-000021-000021
22,22,2026-05-24 14:00:00,5203.57,Cash,Success,TXN-000022-000022
23,23,2024-10-29 13:57:00,1535.98,Debit Card,Success,TXN-000023-000023
24,24,2024-06-14 15:46:00,3766.46,UPI,Success,TXN-000024-000024
25,25,2026-02-08 19:46:00,4616.93,Cash,Success,TXN-000025-000025
26,26,2026-05-04 19:31:00,5188.08,Credit Card,Success,TXN-000026-000026
27,27,2024-01-27 10:11:00,4679.64,UPI,Success,TXN-000027-000027
28,28,2024-06-15 10:50:00,1382.76,Credit Card,Failed,TXN-000028-000028
29,29,2024-07-11 11:43:00,1684.54,PayPal,Success,TXN-000029-000029
30,30,2025-08-02 12:40:00,5748.93,Debit Card,Success,TXN-000030-000030
31,31,2026-01-13 13:15:00,8990.35,Gift Card,Success,TXN-000031-000031
32,32,2025-01-23 16:11:00,7701.66,Cash,Success,TXN-000032-000032
33,33,2025-12-01 18:51:00,1299.0,Cash,Success,TXN-000033-000033
34,34,2024-08-09 11:19:00,5047.35,Gift Card,Success,TXN-000034-000034
35,35,2025-04-03 14:47:00,4788.7,Cash,Failed,TXN-000035-000035
36,36,2025-01-15 18:10:00,5832.4,PayPal,Success,TXN-000036-000036
37,37,2025-12-07 12:56:00,4666.35,UPI,Success,TXN-000037-000037
38,38,2024-12-17 11:46:00,5648.43,Gift Card,Success,TXN-000038-000038
39,39,2024-05-14 10:57:00,1610.78,UPI,Success,TXN-000039-000039
40,40,2026-03-06 11:41:00,5012.91,UPI,Success,TXN-000040-000040
41,41,2024-02-23 16:04:00,2132.87,Credit Card,Success,TXN-000041-000041
42,42,2026-04-07 16:32:00,6773.09,UPI,Success,TXN-000042-000042
43,43,2025-02-04 12:45:00,2324.91,Debit Card,Success,TXN-000043-000043
44,44,2025-06-03 12:31:00,6222.21,Gift Card,Success,TXN-000044-000044
45,45,2025-05-30 13:35:00,4784.97,UPI,Success,TXN-000045-000045
46,46,2025-12-05 19:25:00,4150.75,Gift Card,Success,TXN-000046-000046
47,47,2024-10-18 14:50:00,5765.81,Credit Card,Failed,TXN-000047-000047
48,48,2025-12-07 14:47:00,4756.22,UPI,Success,TXN-000048-000048
49,49,2025-05-25 19:02:00,2910.26,Credit Card,Success,TXN-000049-000049
50,50,2024-07-02 17:08:00,10400.64,PayPal,Failed,TXN-000050-000050
51,51,2025-10-15 09:59:00,6127.92,Credit Card,Success,TXN-000051-000051
52,52,2025-11-20 14:00:00,3998.39,Credit Card,Success,TXN-000052-000052
53,53,2024-06-03 20:57:00,5686.78,PayPal,Success,TXN-000053-000053
54,54,2025-11-27 16:38:00,1622.02,Gift Card,Success,TXN-000054-000054
55,55,2025-03-26 16:15:00,5776.53,Credit Card,Success,TXN-000055-000055
56,56,2024-08-08 17:08:00,1923.12,PayPal,Failed,TXN-000056-000056
57,57,2025-08-29 15:49:00,3049.49,PayPal,Failed,TXN-000057-000057
