ReturnID,OrderID,ProductID,ReturnDate,Quantity,Reason,RefundAmount,Status
1,9,85,2024-03-07 21:37:00,4,Not as Pictured,936.3,Approved
2,19,1946,2025-12-28 09:02:00,2,Late Delivery,937.81,Approved
3,20,1510,2025-02-25 19:16:00,4,Late Delivery,3474.24,Approved
4,21,1121,2025-12-09 13:19:00,3,Not as Pictured,628.31,Approved
5,40,102,2026-03-17 11:41:00,1,Changed Mind,92.43,Approved
6,41,906,2024-02-27 16:04:00,3,Changed Mind,215.12,Approved
7,51,403,2025-10-16 09:59:00,1,Wrong Size,157.72,Approved
8,63,1759,2024-05-27 11:52:00,4,Defective Item,1124.12,Approved
9,70,1354,2024-04-15 15:20:00,1,Wrong Size,1210.92,Approved
10,79,1264,2024-10-28 08:10:00,2,Changed Mind,1139.1,Approved
11,83,1347,2025-06-15 20:53:00,1,Wrong Size,103.97,Approved
12,84,109,2025-05-25 09:11:00,2,Wrong Size,129.29,Approved
13,98,785,2024-04-02 15:36:00,1,Not as Pictured,1250.24,Approved
14,101,1025,2024-04-24 12:00:00,3,Defective Item,158.36,Approved
15,110,460,2024-05-17 17:32:00,3,Not as Pictured,593.18,Approved
16,115,1967,2024-09-16 17:50:00,1,Late Delivery,266.25,Approved
17,128,329,2024-11-06 11:01:00,2,Defective Item,1352.24,Approved
18,139,1385,2026-02-24 20:46:00,1,Wrong Size,2675.53,Approved
19,149,432,2024-05-25 18:03:00,3,Late Delivery,301.42,Approved
20,152,286,2025-12-31 10:10:00,3,Wrong Size,2476.47,Approved
21,155,1140,2026-04-14 09:25:00,3,Defective Item,1747.76,Approved
22,170,1293,2025-07-14 13:15:00,4,Wrong Size,1005.13,Approved
23,196,211,2025-08-18 11:24:00,1,Changed Mind,30.64,Approved
24,213,1634,2025-07-18 16:04:00,2,Wrong Size,1257.85,Approved
25,222,1267,2025-11-02 20:00:00,2,Late Delivery,1114.92,Approved
26,227,300,2025-12-13 17:33:00,3,Wrong Size,2231.97,Approved
27,228,445,2024-10-27 11:05:00,1,Changed Mind,1522.56,Approved
28,228,45,2024-10-25 11:05:00,1,Changed Mind,130.6,Approved
29,233,772,2025-09-27 18:58:00,1,Changed Mind,419.66,Approved
