CategoryID,CategoryName,Department,Description
1,Men's T-Shirts & Tops,Men's Wear,Trendy budget-friendly fashion items under Men's T-Shirts & Tops in Men's Wear department.
2,Men's Shirts,Men's Wear,Trendy budget-friendly fashion items under Men's Shirts in Men's Wear department.
3,Men's Bottomwear,Men's Wear,Trendy budget-friendly fashion items under Men's Bottomwear in Men's Wear department.
4,Men's Activewear & Outerwear,Men's Wear,Trendy budget-friendly fashion items under Men's Activewear & Outerwear in Men's Wear department.
5,Women's Tops & Tees,Women's Wear,Trendy budget-friendly fashion items under Women's Tops & Tees in Women's Wear department.
6,Women's Ethnic Wear,Women's Wear,Trendy budget-friendly fashion items under Women's Ethnic Wear in Women's Wear department.
7,Women's Bottomwear,Women's Wear,Trendy budget-friendly fashion items under Women's Bottomwear in Women's Wear department.
8,Women's Dresses,Women's Wear,Trendy budget-friendly fashion items under Women's Dresses in Women's Wear department.
9,Boys' Wear,Kids' Wear,Trendy budget-friendly fashion items under Boys' Wear in Kids' Wear department.
10,Girls' Wear,Kids' Wear,Trendy budget-friendly fashion items under Girls' Wear in Kids' Wear department.
11,Infants & Toddlers,Kids' Wear,Trendy budget-friendly fashion items under Infants & Toddlers in Kids' Wear department.
12,Men's Footwear,Footwear,Trendy budget-friendly fashion items under Men's Footwear in Footwear department.
13,Women's Footwear,Footwear,Trendy budget-friendly fashion items under Women's Footwear in Footwear department.
14,Unisex Casual Footwear,Footwear,Trendy budget-friendly fashion items under Unisex Casual Footwear in Footwear department.
15,Deodorants & Perfumes,Accessories & Cosmetics,Trendy budget-friendly fashion items under Deodorants & Perfumes in Accessories & Cosmetics department.
16,Makeup & Cosmetics,Accessories & Cosmetics,Trendy budget-friendly fashion items under Makeup & Cosmetics in Accessories & Cosmetics department.
17,"Socks, Bags & Belts",Accessories & Cosmetics,"Trendy budget-friendly fashion items under Socks, Bags & Belts in Accessories & Cosmetics department."
