OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,CostPrice,Discount,Tax,LineTotal,LineProfit
1,1,20,2,99.0,53.99,0.0,5.0,207.9,90.02
2,1,356,1,199.0,100.64,0.0,5.0,208.95,98.36
3,1,538,1,249.0,109.1,10.0,5.0,235.31,115.0
4,1,1779,3,199.0,85.49,0.0,5.0,626.85,340.53
5,1,1674,1,799.0,367.34,0.0,5.0,838.95,431.66
6,1,318,1,299.0,136.33,0.0,5.0,313.95,162.67
7,2,476,3,99.0,41.6,0.0,5.0,311.85,172.2
8,2,1228,2,249.0,128.4,0.0,5.0,522.9,241.2
9,2,1401,2,199.0,91.81,0.0,5.0,417.9,214.38
10,2,813,2,199.0,96.85,0.0,5.0,417.9,204.3
11,3,477,3,399.0,198.24,0.0,5.0,1256.85,602.28
12,3,1129,3,199.0,97.29,0.0,5.0,626.85,305.13
13,3,766,2,249.0,119.22,0.0,5.0,522.9,259.56
14,3,744,1,699.0,343.72,10.0,5.0,660.56,285.38
15,3,1304,2,299.0,125.19,0.0,5.0,627.9,347.62
16,4,1879,2,299.0,147.34,0.0,5.0,627.9,303.32
17,4,1894,1,599.0,318.31,0.0,5.0,628.95,280.69
18,4,1024,2,999.0,542.09,0.0,5.0,2097.9,913.82
19,4,1028,2,699.0,356.76,0.0,5.0,1467.9,684.48
20,4,333,2,299.0,136.99,0.0,5.0,627.9,324.02
21,4,1915,1,999.0,457.86,0.0,5.0,1048.95,541.14
22,5,1024,1,999.0,542.09,0.0,5.0,1048.95,456.91
23,5,1948,2,999.0,428.76,0.0,5.0,2097.9,1140.48
24,6,1972,3,399.0,171.15,0.0,5.0,1256.85,683.55
25,6,942,1,699.0,302.07,0.0,5.0,733.95,396.93
26,6,1204,1,299.0,130.9,0.0,5.0,313.95,168.1
27,7,1255,3,899.0,418.52,0.0,5.0,2831.85,1441.44
28,7,1699,3,249.0,117.62,0.0,5.0,784.35,394.14
29,8,1148,1,149.0,60.58,0.0,5.0,156.45,88.42
30,8,1615,3,249.0,111.82,0.0,5.0,784.35,411.54
31,9,1352,1,199.0,85.12,0.0,5.0,208.95,113.88
32,9,1890,2,999.0,464.96,10.0,5.0,1888.11,868.28
33,9,558,3,99.0,53.39,0.0,5.0,311.85,136.83
34,10,268,1,199.0,99.59,0.0,5.0,208.95,99.41
35,10,1754,2,199.0,101.95,0.0,5.0,417.9,194.1
36,10,1344,1,499.0,202.53,0.0,5.0,523.95,296.47
37,10,1513,3,699.0,374.68,0.0,5.0,2201.85,972.96
38,10,1967,2,199.0,98.98,0.0,5.0,417.9,200.04
39,11,1582,2,149.0,80.87,0.0,5.0,312.9,136.26
40,11,1821,2,599.0,306.96,0.0,5.0,1257.9,584.08
41,12,1741,2,399.0,218.98,10.0,5.0,754.11,280.24
42,12,1616,3,299.0,154.45,0.0,5.0,941.85,433.65
43,12,887,2,499.0,227.03,10.0,5.0,943.11,444.14
44,12,1857,2,499.0,256.53,0.0,5.0,1047.9,484.94
45,12,1189,3,249.0,107.35,0.0,5.0,784.35,424.95
46,12,1896,2,699.0,356.18,10.0,5.0,1321.11,545.84
47,13,1251,1,699.0,383.75,0.0,5.0,733.95,315.25
48,13,191,2,399.0,173.16,0.0,5.0,837.9,451.68
49,13,832,3,99.0,44.25,0.0,5.0,311.85,164.25
50,13,1476,1,799.0,423.61,0.0,5.0,838.95,375.39
51,13,240,1,99.0,46.13,10.0,5.0,93.56,42.97
52,13,990,2,399.0,174.74,0.0,5.0,837.9,448.52
53,13,1638,2,299.0,123.89,0.0,5.0,627.9,350.22
54,14,643,2,899.0,417.88,0.0,5.0,1887.9,962.24
55,14,1674,2,799.0,367.34,0.0,5.0,1677.9,863.32
56,14,1934,2,599.0,281.11,0.0,5.0,1257.9,635.78
57,14,1758,2,79.0,33.33,0.0,5.0,165.9,91.34
58,14,992,1,899.0,461.64,0.0,5.0,943.95,437.36
59,15,75,1,799.0,351.97,0.0,5.0,838.95,447.03
60,15,1014,1,899.0,462.3,0.0,5.0,943.95,436.7
61,15,403,3,299.0,131.23,0.0,5.0,941.85,503.31
62,15,233,3,699.0,332.33,0.0,5.0,2201.85,1100.01
63,15,1052,2,149.0,80.2,0.0,5.0,312.9,137.6
64,16,1066,3,149.0,80.69,10.0,5.0,422.42,160.23
65,16,699,3,249.0,136.89,10.0,5.0,705.92,261.63
66,16,1137,1,399.0,213.73,0.0,5.0,418.95,185.27
67,16,1994,1,399.0,170.97,0.0,5.0,418.95,228.03
68,16,1151,3,799.0,348.38,0.0,5.0,2516.85,1351.86
69,17,1823,3,699.0,380.42,0.0,5.0,2201.85,955.74
70,17,1801,3,249.0,128.09,0.0,5.0,784.35,362.73
71,17,415,2,299.0,162.25,0.0,5.0,627.9,273.5
72,17,1117,1,399.0,186.21,0.0,5.0,418.95,212.79
73,18,1627,1,79.0,38.26,0.0,5.0,82.95,40.74
74,18,1490,3,599.0,326.71,0.0,5.0,1886.85,816.87
75,18,332,2,79.0,35.79,0.0,5.0,165.9,86.42
76,18,1776,1,499.0,261.78,0.0,5.0,523.95,237.22
77,18,1289,2,399.0,202.36,0.0,5.0,837.9,393.28
78,18,745,3,249.0,103.68,0.0,5.0,784.35,435.96
79,19,1573,1,399.0,202.65,10.0,5.0,377.06,156.45
80,19,170,2,499.0,221.27,0.0,5.0,1047.9,555.46
81,19,304,2,499.0,271.23,10.0,5.0,943.11,355.74
82,19,1799,1,599.0,251.67,0.0,5.0,628.95,347.33
83,19,732,2,299.0,138.73,0.0,5.0,627.9,320.54
84,19,1625,3,499.0,249.05,0.0,5.0,1571.85,749.85
85,20,566,1,399.0,211.37,0.0,5.0,418.95,187.63
86,20,13,2,799.0,416.38,10.0,5.0,1510.11,605.44
87,20,885,2,399.0,207.15,0.0,5.0,837.9,383.7
88,20,506,3,599.0,284.82,0.0,5.0,1886.85,942.54
89,20,661,1,199.0,103.62,0.0,5.0,208.95,95.38
90,20,200,3,499.0,269.25,0.0,5.0,1571.85,689.25
91,20,769,2,699.0,323.01,0.0,5.0,1467.9,751.98
92,21,1014,1,899.0,462.3,0.0,5.0,943.95,436.7
93,21,512,1,699.0,348.98,0.0,5.0,733.95,350.02
94,21,1440,1,599.0,321.61,0.0,5.0,628.95,277.39
95,21,1879,2,299.0,147.34,0.0,5.0,627.9,303.32
96,21,1167,1,599.0,270.74,10.0,5.0,566.06,268.36
97,22,1471,1,149.0,65.5,10.0,5.0,140.81,68.6
98,22,1921,2,999.0,401.94,0.0,5.0,2097.9,1194.12
99,22,784,3,499.0,220.31,0.0,5.0,1571.85,836.07
100,22,1619,3,599.0,256.41,0.0,5.0,1886.85,1027.77
101,22,1126,1,799.0,346.51,0.0,5.0,838.95,452.49
102,22,1909,3,199.0,107.78,0.0,5.0,626.85,273.66
103,22,1862,2,249.0,131.91,0.0,5.0,522.9,234.18
104,23,565,2,249.0,105.85,0.0,5.0,522.9,286.3
105,23,1002,1,499.0,210.77,0.0,5.0,523.95,288.23
106,23,1382,3,249.0,118.34,0.0,5.0,784.35,391.98
107,23,768,1,199.0,83.13,0.0,5.0,208.95,115.87
108,24,1011,3,299.0,131.27,0.0,5.0,941.85,503.19
109,24,1603,1,499.0,213.33,10.0,5.0,471.56,235.77
110,25,1481,1,499.0,228.23,10.0,5.0,471.56,220.87
111,25,1506,1,399.0,185.46,0.0,5.0,418.95,213.54
112,25,1394,2,899.0,429.22,0.0,5.0,1887.9,939.56
113,25,314,2,399.0,189.87,0.0,5.0,837.9,418.26
114,25,1708,2,299.0,135.16,0.0,5.0,627.9,327.68
115,26,1687,3,499.0,256.17,0.0,5.0,1571.85,728.49
116,26,1319,1,199.0,82.88,0.0,5.0,208.95,116.12
117,26,1955,2,299.0,123.95,0.0,5.0,627.9,350.1
118,26,1039,3,249.0,115.8,0.0,5.0,784.35,399.6
119,26,1394,1,899.0,429.22,0.0,5.0,943.95,469.78
120,26,1320,1,199.0,102.51,0.0,5.0,208.95,96.49
