OrderID,CustomerID,StoreID,EmployeeID,OrderDate,PaymentMethod,Status,TotalAmount,DiscountAmount,TaxAmount
1,7821,14,20,2025-09-10 21:45:00,Debit Card,Cancelled,2431.9,24.9,115.81
2,315,9,49,2026-06-19 22:52:00,UPI,Completed,1670.55,0.0,79.55
3,7982,5,25,2026-03-09 17:28:00,UPI,Completed,3695.05,69.9,175.96
4,2661,13,30,2024-12-17 20:49:00,UPI,Completed,6499.5,0.0,309.5
5,9982,6,21,2025-10-09 20:42:00,UPI,Completed,3146.85,0.0,149.85
6,1508,11,28,2025-07-10 21:44:00,Credit Card,Completed,2304.75,0.0,109.75
7,5071,7,33,2025-09-19 21:57:00,Cash,Completed,3616.2,0.0,172.2
8,1561,3,9,2026-04-04 18:05:00,UPI,Completed,940.8,0.0,44.8
9,668,12,18,2024-01-16 16:12:00,UPI,Completed,2408.91,199.8,114.71
10,1461,15,13,2024-06-29 10:29:00,UPI,Completed,3770.55,0.0,179.55
11,8755,5,32,2026-03-29 20:40:00,Debit Card,Completed,1570.8,0.0,74.8
12,9243,16,24,2024-06-03 22:51:00,Cash,Completed,5792.43,319.4,275.83
13,6494,6,21,2025-11-02 14:36:00,Debit Card,Completed,4282.0,9.9,203.91
14,1349,19,46,2024-07-24 14:42:00,UPI,Cancelled,5933.55,0.0,282.55
15,8763,13,47,2025-02-05 22:18:00,UPI,Completed,5239.5,0.0,249.5
16,1467,20,1,2026-02-11 12:00:00,UPI,Completed,4483.08,119.4,213.48
17,669,6,15,2025-11-23 17:52:00,UPI,Completed,4033.05,0.0,192.05
18,2960,5,10,2025-07-28 19:25:00,Debit Card,Completed,4281.9,0.0,203.9
19,6751,4,34,2024-11-01 12:00:00,UPI,Completed,5196.77,139.7,247.47
20,2328,2,43,2025-05-04 10:33:00,Debit Card,Completed,7902.51,159.8,376.31
21,1921,5,10,2025-06-24 14:03:00,Cash,Completed,3500.81,59.9,166.71
22,3266,2,36,2025-01-05 18:52:00,UPI,Completed,7686.1,14.9,366.0
23,8569,20,14,2024-08-24 11:00:00,Credit Card,Completed,2040.15,0.0,97.15
24,1187,20,1,2026-01-19 10:49:00,UPI,Completed,1413.4,49.9,67.31
25,3905,11,12,2026-04-04 12:49:00,UPI,Completed,4244.2,49.9,202.11
26,9037,13,40,2025-07-18 18:54:00,Cash,Completed,4764.9,0.0,226.9
27,6248,18,11,2025-03-20 16:19:00,UPI,Completed,4778.02,239.5,227.52
28,7191,3,27,2025-03-12 22:44:00,Cash,Cancelled,3145.8,0.0,149.8
29,9778,3,9,2026-02-03 12:07:00,UPI,Completed,6340.11,49.8,301.91
30,4374,16,24,2024-03-07 12:49:00,Cash,Completed,2693.46,79.8,128.26
31,6305,14,20,2025-09-03 10:07:00,Cash,Completed,6486.06,159.8,308.86
32,5292,10,22,2025-05-02 21:21:00,Cash,Completed,4624.73,79.5,220.23
33,3666,12,18,2025-03-24 21:27:00,UPI,Completed,4191.6,0.0,199.6
34,1884,17,4,2025-03-31 22:15:00,UPI,Completed,736.15,24.9,35.06
35,2123,9,49,2026-03-23 11:42:00,UPI,Completed,1673.91,49.8,79.71
36,3962,5,25,2024-01-07 15:02:00,Credit Card,Completed,7230.82,179.5,344.33
37,2124,14,20,2024-09-15 18:34:00,UPI,Completed,942.9,0.0,44.9
38,4407,2,43,2025-06-01 11:16:00,UPI,Completed,8625.33,369.4,410.73
39,2606,8,38,2026-05-10 16:27:00,UPI,Completed,4987.6,89.9,237.51
40,3598,14,20,2025-05-11 13:00:00,Credit Card,Completed,5352.06,139.8,254.86
41,563,3,27,2026-01-29 18:40:00,UPI,Completed,5451.6,0.0,259.6
42,7036,16,24,2025-01-30 17:54:00,Cash,Completed,4595.85,0.0,218.85
43,121,9,49,2024-09-27 19:09:00,UPI,Completed,2208.15,0.0,105.15
44,6967,14,20,2025-06-12 10:00:00,UPI,Completed,2305.8,0.0,109.8
45,7216,12,18,2024-04-22 13:43:00,Credit Card,Cancelled,1675.8,0.0,79.8
