PaymentID,OrderID,PaymentDate,Amount,PaymentMethod,TransactionStatus,TransactionReference
1,1,2025-09-10 21:45:00,2431.9,Debit Card,Failed,TXN-ZUD-000001-000001
2,2,2026-06-19 22:52:00,1670.55,UPI,Success,TXN-ZUD-000002-000002
3,3,2026-03-09 17:28:00,3695.05,UPI,Success,TXN-ZUD-000003-000003
4,4,2024-12-17 20:49:00,6499.5,UPI,Success,TXN-ZUD-000004-000004
5,5,2025-10-09 20:42:00,3146.85,UPI,Success,TXN-ZUD-000005-000005
6,6,2025-07-10 21:44:00,2304.75,Credit Card,Success,TXN-ZUD-000006-000006
7,7,2025-09-19 21:57:00,3616.2,Cash,Success,TXN-ZUD-000007-000007
8,8,2026-04-04 18:05:00,940.8,UPI,Success,TXN-ZUD-000008-000008
9,9,2024-01-16 16:12:00,2408.91,UPI,Success,TXN-ZUD-000009-000009
10,10,2024-06-29 10:29:00,3770.55,UPI,Success,TXN-ZUD-000010-000010
11,11,2026-03-29 20:40:00,1570.8,Debit Card,Success,TXN-ZUD-000011-000011
12,12,2024-06-03 22:51:00,5792.43,Cash,Success,TXN-ZUD-000012-000012
13,13,2025-11-02 14:36:00,4282.0,Debit Card,Success,TXN-ZUD-000013-000013
14,14,2024-07-24 14:42:00,5933.55,UPI,Failed,TXN-ZUD-000014-000014
15,15,2025-02-05 22:18:00,5239.5,UPI,Success,TXN-ZUD-000015-000015
16,16,2026-02-11 12:00:00,4483.08,UPI,Success,TXN-ZUD-000016-000016
17,17,2025-11-23 17:52:00,4033.05,UPI,Success,TXN-ZUD-000017-000017
18,18,2025-07-28 19:25:00,4281.9,Debit Card,Success,TXN-ZUD-000018-000018
19,19,2024-11-01 12:00:00,5196.77,UPI,Success,TXN-ZUD-000019-000019
20,20,2025-05-04 10:33:00,7902.51,Debit Card,Success,TXN-ZUD-000020-000020
21,21,2025-06-24 14:03:00,3500.81,Cash,Success,TXN-ZUD-000021-000021
22,22,2025-01-05 18:52:00,7686.1,UPI,Success,TXN-ZUD-000022-000022
23,23,2024-08-24 11:00:00,2040.15,Credit Card,Success,TXN-ZUD-000023-000023
24,24,2026-01-19 10:49:00,1413.4,UPI,Success,TXN-ZUD-000024-000024
25,25,2026-04-04 12:49:00,4244.2,UPI,Success,TXN-ZUD-000025-000025
26,26,2025-07-18 18:54:00,4764.9,Cash,Success,TXN-ZUD-000026-000026
27,27,2025-03-20 16:19:00,4778.02,UPI,Success,TXN-ZUD-000027-000027
28,28,2025-03-12 22:44:00,3145.8,Cash,Failed,TXN-ZUD-000028-000028
29,29,2026-02-03 12:07:00,6340.11,UPI,Success,TXN-ZUD-000029-000029
30,30,2024-03-07 12:49:00,2693.46,Cash,Success,TXN-ZUD-000030-000030
31,31,2025-09-03 10:07:00,6486.06,Cash,Success,TXN-ZUD-000031-000031
32,32,2025-05-02 21:21:00,4624.73,Cash,Success,TXN-ZUD-000032-000032
33,33,2025-03-24 21:27:00,4191.6,UPI,Success,TXN-ZUD-000033-000033
34,34,2025-03-31 22:15:00,736.15,UPI,Success,TXN-ZUD-000034-000034
35,35,2026-03-23 11:42:00,1673.91,UPI,Success,TXN-ZUD-000035-000035
36,36,2024-01-07 15:02:00,7230.82,Credit Card,Success,TXN-ZUD-000036-000036
37,37,2024-09-15 18:34:00,942.9,UPI,Success,TXN-ZUD-000037-000037
38,38,2025-06-01 11:16:00,8625.33,UPI,Success,TXN-ZUD-000038-000038
39,39,2026-05-10 16:27:00,4987.6,UPI,Success,TXN-ZUD-000039-000039
40,40,2025-05-11 13:00:00,5352.06,Credit Card,Success,TXN-ZUD-000040-000040
41,41,2026-01-29 18:40:00,5451.6,UPI,Success,TXN-ZUD-000041-000041
42,42,2025-01-30 17:54:00,4595.85,Cash,Success,TXN-ZUD-000042-000042
43,43,2024-09-27 19:09:00,2208.15,UPI,Success,TXN-ZUD-000043-000043
44,44,2025-06-12 10:00:00,2305.8,UPI,Success,TXN-ZUD-000044-000044
45,45,2024-04-22 13:43:00,1675.8,Credit Card,Failed,TXN-ZUD-000045-000045
46,46,2024-09-27 18:42:00,3977.82,Debit Card,Failed,TXN-ZUD-000046-000046
47,47,2024-11-28 14:00:00,1464.75,Credit Card,Failed,TXN-ZUD-000047-000047
48,48,2026-02-14 17:53:00,4098.26,Credit Card,Success,TXN-ZUD-000048-000048
49,49,2024-01-27 19:00:00,2935.8,Cash,Success,TXN-ZUD-000049-000049
50,50,2026-03-27 15:39:00,3144.75,UPI,Success,TXN-ZUD-000050-000050
51,51,2024-05-07 19:11:00,1149.75,Credit Card,Success,TXN-ZUD-000051-000051
52,52,2024-03-26 15:41:00,2139.06,UPI,Failed,TXN-ZUD-000052-000052
53,53,2025-09-23 18:28:00,778.26,Credit Card,Success,TXN-ZUD-000053-000053
54,54,2025-07-09 16:51:00,9371.46,UPI,Failed,TXN-ZUD-000054-000054
55,55,2024-10-20 10:33:00,6550.01,Cash,Success,TXN-ZUD-000055-000055
56,56,2024-01-14 20:57:00,1798.76,UPI,Success,TXN-ZUD-000056-000056
57,57,2025-06-15 19:26:00,2835.11,Cash,Success,TXN-ZUD-000057-000057
58,58,2025-10-22 22:00:00,2974.65,Credit Card,Success,TXN-ZUD-000058-000058
59,59,2026-05-22 20:45:00,6186.6,Credit Card,Success,TXN-ZUD-000059-000059
60,60,2026-06-16 14:22:00,6066.06,Credit Card,Failed,TXN-ZUD-000060-000060
61,61,2025-07-20 14:34:00,6728.61,Debit Card,Success,TXN-ZUD-000061-000061
62,62,2024-06-08 18:22:00,2303.7,Debit Card,Success,TXN-ZUD-000062-000062
63,63,2024-04-01 15:00:00,2287.95,Debit Card,Success,TXN-ZUD-000063-000063
64,64,2025-03-07 14:40:00,6229.86,Credit Card,Success,TXN-ZUD-000064-000064
65,65,2024-01-27 14:56:00,574.35,Credit Card,Success,TXN-ZUD-000065-000065
66,66,2024-02-11 10:23:00,5659.5,UPI,Success,TXN-ZUD-000066-000066
67,67,2025-06-29 11:18:00,3978.45,Debit Card,Failed,TXN-ZUD-000067-000067
68,68,2025-07-26 11:03:00,3748.5,Debit Card,Failed,TXN-ZUD-000068-000068
69,69,2024-07-20 18:57:00,3958.92,UPI,Success,TXN-ZUD-000069-000069
70,70,2024-12-04 13:14:00,3377.11,UPI,Success,TXN-ZUD-000070-000070
71,71,2026-04-18 12:12:00,2531.86,UPI,Success,TXN-ZUD-000071-000071
72,72,2024-03-01 19:00:00,1361.85,Credit Card,Success,TXN-ZUD-000072-000072
73,73,2024-08-29 12:40:00,1887.06,UPI,Success,TXN-ZUD-000073-000073
74,74,2024-08-10 15:00:00,6079.5,UPI,Success,TXN-ZUD-000074-000074
75,75,2024-11-06 14:31:00,1317.75,Debit Card,Success,TXN-ZUD-000075-000075
76,76,2025-04-22 10:53:00,4737.91,Cash,Success,TXN-ZUD-000076-000076
77,77,2024-11-08 20:51:00,6306.61,UPI,Success,TXN-ZUD-000077-000077
78,78,2026-03-19 17:00:00,8823.47,Debit Card,Success,TXN-ZUD-000078-000078
79,79,2026-01-19 21:00:00,1128.33,Debit Card,Failed,TXN-ZUD-000079-000079
80,80,2025-03-19 21:00:00,2504.57,Cash,Success,TXN-ZUD-000080-000080
81,81,2024-12-30 11:15:00,2064.61,Credit Card,Success,TXN-ZUD-000081-000081
82,82,2024-05-11 15:47:00,5867.72,UPI,Success,TXN-ZUD-000082-000082
83,83,2024-05-27 20:29:00,2829.75,Credit Card,Success,TXN-ZUD-000083-000083
84,84,2025-01-03 22:29:00,4515.0,Debit Card,Failed,TXN-ZUD-000084-000084
85,85,2025-08-15 16:13:00,7125.3,UPI,Success,TXN-ZUD-000085-000085
86,86,2025-06-02 13:48:00,3102.85,Credit Card,Success,TXN-ZUD-000086-000086
87,87,2024-04-09 11:57:00,1150.8,Credit Card,Success,TXN-ZUD-000087-000087
88,88,2025-03-21 16:46:00,8426.57,UPI,Failed,TXN-ZUD-000088-000088
89,89,2024-01-09 16:10:00,5509.66,UPI,Success,TXN-ZUD-000089-000089
90,90,2025-11-12 18:19:00,4769.1,UPI,Success,TXN-ZUD-000090-000090
91,91,2025-08-20 19:01:00,2316.62,UPI,Success,TXN-ZUD-000091-000091
92,92,2026-03-17 13:48:00,4233.81,UPI,Success,TXN-ZUD-000092-000092
93,93,2025-07-15 16:25:00,1570.8,UPI,Failed,TXN-ZUD-000093-000093
94,94,2025-12-10 22:00:00,3875.55,UPI,Success,TXN-ZUD-000094-000094
95,95,2026-06-06 12:26:00,3915.77,UPI,Success,TXN-ZUD-000095-000095
96,96,2024-01-04 18:28:00,5864.25,UPI,Success,TXN-ZUD-000096-000096
97,97,2024-07-03 16:00:00,5556.6,UPI,Success,TXN-ZUD-000097-000097
98,98,2026-06-03 16:55:00,3774.75,UPI,Success,TXN-ZUD-000098-000098
99,99,2025-12-13 16:27:00,5660.55,Credit Card,Success,TXN-ZUD-000099-000099
100,100,2025-11-15 13:59:00,5314.47,Credit Card,Success,TXN-ZUD-000100-000100
101,101,2024-12-14 11:41:00,4558.89,Cash,Success,TXN-ZUD-000101-000101
102,102,2024-02-23 13:38:00,8176.35,UPI,Success,TXN-ZUD-000102-000102
103,103,2024-02-10 18:25:00,6122.65,UPI,Success,TXN-ZUD-000103-000103
104,104,2025-06-02 20:01:00,13619.86,Debit Card,Success,TXN-ZUD-000104-000104
105,105,2024-11-11 13:40:00,5490.55,Debit Card,Success,TXN-ZUD-000105-000105
106,106,2024-02-18 20:45:00,6654.9,UPI,Success,TXN-ZUD-000106-000106
107,107,2025-01-07 18:03:00,5930.5,Credit Card,Success,TXN-ZUD-000107-000107
108,108,2025-09-25 12:03:00,8174.56,Credit Card,Success,TXN-ZUD-000108-000108
109,109,2024-03-03 16:17:00,5340.3,Credit Card,Success,TXN-ZUD-000109-000109
110,110,2026-02-28 15:44:00,6548.85,Credit Card,Success,TXN-ZUD-000110-000110
111,111,2026-05-17 11:20:00,6506.85,Cash,Failed,TXN-ZUD-000111-000111
112,112,2026-03-31 14:19:00,5583.9,Debit Card,Success,TXN-ZUD-000112-000112
113,113,2024-06-08 15:41:00,5031.6,UPI,Success,TXN-ZUD-000113-000113
114,114,2025-06-09 15:00:00,3960.81,Cash,Success,TXN-ZUD-000114-000114
115,115,2024-06-10 10:14:00,7495.0,Debit Card,Success,TXN-ZUD-000115-000115
