ReturnID,OrderID,ProductID,ReturnDate,Quantity,Reason,RefundAmount,Status
1,15,1014,2025-02-11 22:18:00,1,Color Bled,943.95,Approved
2,18,1289,2025-08-02 19:25:00,1,Wrong Size,837.9,Approved
3,27,547,2025-03-26 16:19:00,1,Wrong Size,1698.16,Approved
4,32,1890,2025-05-09 21:21:00,2,Color Bled,2097.9,Approved
5,44,1747,2025-06-16 10:00:00,2,Defective Stitching,1677.9,Approved
6,50,1637,2026-03-29 15:39:00,1,Wrong Size,418.95,Approved
7,55,1084,2024-10-21 10:33:00,2,Changed Mind,784.35,Approved
8,57,1945,2025-06-19 19:26:00,1,Defective Stitching,103.95,Approved
9,62,1683,2024-06-15 18:22:00,3,Defective Stitching,941.85,Approved
10,64,373,2025-03-14 14:40:00,3,Color Bled,1571.85,Approved
11,76,520,2025-04-28 10:53:00,2,Wrong Size,941.85,Approved
12,104,805,2025-06-09 20:01:00,2,Fabric Quality,1467.9,Approved
13,112,1974,2026-04-05 14:19:00,1,Color Bled,313.95,Approved
14,121,1314,2025-07-13 14:52:00,1,Changed Mind,705.92,Approved
15,124,280,2025-09-24 14:07:00,1,Changed Mind,523.95,Approved
16,128,1830,2024-10-02 12:36:00,1,Fabric Quality,1257.9,Approved
17,134,326,2025-09-22 20:50:00,1,Color Bled,261.45,Approved
18,135,1087,2025-02-23 22:43:00,1,Color Bled,103.95,Approved
19,153,1246,2026-06-25 14:11:00,1,Defective Stitching,628.95,Approved
20,156,1036,2024-07-13 18:45:00,1,Fabric Quality,1677.9,Approved
21,165,1643,2024-02-28 12:09:00,1,Color Bled,376.11,Approved
22,178,774,2024-09-15 18:20:00,1,Wrong Size,261.45,Approved
23,180,513,2026-04-06 12:50:00,2,Fabric Quality,3146.85,Approved
24,188,1122,2026-01-26 18:22:00,1,Defective Stitching,282.56,Approved
25,191,1740,2025-09-24 14:31:00,1,Changed Mind,417.9,Approved
26,206,1423,2025-11-27 19:00:00,3,Fabric Quality,2201.85,Approved
27,215,86,2024-04-21 15:15:00,1,Changed Mind,943.95,Approved
28,215,1598,2024-04-21 15:15:00,2,Fabric Quality,2516.85,Approved
29,228,145,2026-02-13 19:15:00,1,Color Bled,208.95,Approved
30,229,1323,2024-03-11 13:50:00,1,Wrong Size,1467.9,Approved
31,230,1120,2025-09-08 21:46:00,1,Wrong Size,733.95,Approved
32,231,989,2026-04-16 16:21:00,1,Fabric Quality,838.95,Approved
33,232,139,2024-12-28 20:46:00,2,Color Bled,1571.85,Approved
34,252,68,2024-12-15 14:59:00,1,Fabric Quality,2097.9,Approved
35,252,1146,2024-12-21 14:59:00,1,Color Bled,733.95,Approved
36,275,285,2025-07-13 17:19:00,2,Wrong Size,187.11,Approved
37,278,1494,2025-08-10 10:17:00,1,Changed Mind,2831.85,Approved
38,285,1893,2025-05-07 20:12:00,1,Color Bled,417.9,Approved
39,285,98,2025-05-02 20:12:00,1,Color Bled,223.97,Approved
40,287,331,2024-12-01 17:20:00,1,Fabric Quality,165.9,Approved
41,287,722,2024-12-04 17:20:00,2,Wrong Size,1887.9,Approved
42,292,1743,2026-04-24 11:53:00,1,Defective Stitching,140.81,Approved
43,295,1214,2024-04-23 11:19:00,1,Wrong Size,627.9,Approved
44,303,937,2026-05-25 15:37:00,1,Color Bled,418.95,Approved
45,307,1368,2024-07-06 22:56:00,1,Wrong Size,208.95,Approved
46,309,765,2026-01-12 19:33:00,1,Defective Stitching,1677.9,Approved
47,324,993,2024-06-19 20:40:00,1,Defective Stitching,2201.85,Approved
48,338,1013,2024-08-21 11:00:00,1,Changed Mind,2516.85,Approved
49,344,1270,2025-08-14 16:51:00,1,Changed Mind,626.85,Approved
50,350,212,2025-07-17 20:06:00,1,Defective Stitching,93.56,Approved
51,355,1950,2025-03-01 14:11:00,3,Changed Mind,626.85,Approved
52,355,1131,2025-03-02 14:11:00,2,Color Bled,522.9,Approved
53,383,1534,2024-03-13 18:51:00,1,Color Bled,627.9,Approved
54,393,1814,2026-07-08 12:49:00,1,Wrong Size,784.35,Approved
55,407,44,2026-04-29 13:17:00,1,Defective Stitching,1257.9,Approved
56,420,1051,2025-07-18 11:24:00,1,Color Bled,838.95,Approved
57,425,145,2025-07-03 20:28:00,1,Fabric Quality,626.85,Approved
58,435,1355,2024-06-07 12:06:00,1,Color Bled,418.95,Approved
59,446,465,2025-03-06 12:00:00,1,Wrong Size,943.95,Approved
60,454,1500,2025-11-13 20:23:00,1,Wrong Size,628.95,Approved
61,456,48,2026-04-11 15:25:00,1,Fabric Quality,523.95,Approved
62,461,334,2026-01-18 22:48:00,1,Defective Stitching,733.95,Approved
63,484,1433,2026-03-23 11:29:00,2,Defective Stitching,1677.9,Approved
64,498,271,2025-04-12 21:52:00,3,Defective Stitching,626.85,Approved
65,513,927,2024-01-12 20:12:00,2,Defective Stitching,522.9,Approved
66,520,419,2024-02-18 15:03:00,1,Defective Stitching,313.95,Approved
67,525,1655,2024-06-23 16:13:00,1,Changed Mind,313.95,Approved
68,529,460,2024-01-05 18:00:00,1,Wrong Size,311.85,Approved
69,535,1678,2025-09-27 12:25:00,1,Wrong Size,261.45,Approved
70,547,1388,2025-03-02 21:43:00,2,Wrong Size,837.9,Approved
71,551,556,2025-10-10 16:20:00,2,Wrong Size,941.85,Approved
72,551,1202,2025-10-11 16:20:00,1,Changed Mind,313.95,Approved
73,552,571,2025-10-31 12:18:00,1,Fabric Quality,2831.85,Approved
74,558,1094,2025-04-06 11:01:00,1,Wrong Size,523.95,Approved
75,559,1522,2024-03-28 15:01:00,2,Wrong Size,2516.85,Approved
76,561,1172,2024-03-01 10:24:00,1,Changed Mind,1886.85,Approved
77,562,407,2024-09-03 21:25:00,2,Defective Stitching,376.11,Approved
78,568,1098,2025-02-25 13:16:00,1,Fabric Quality,1257.9,Approved
79,568,315,2025-02-26 13:16:00,1,Color Bled,82.95,Approved
80,577,1105,2024-11-16 10:35:00,3,Fabric Quality,941.85,Approved
81,580,1753,2026-03-31 11:53:00,2,Defective Stitching,784.35,Approved
82,586,1970,2026-03-29 16:00:00,1,Defective Stitching,838.95,Approved
